ECA,,,
United States of America,AVIAT U.S,"Telecommunication equipment, parts and accessories thereof","154,463.00"
United States of America,ND SATCOM INC.,"Telecommunication equipment, parts and accessories thereof","139,860.00"
United States of America,MOTOROLA,"Telecommunication equipment, parts and accessories thereof","138,391.60"
United States of America,"ALLIED GLOBAL, INC.","Telecommunication equipment, parts and accessories thereof","121,555.00"
United States of America,TCS SUPPLY CO.,"Telecommunication equipment, parts and accessories thereof","7 6,280.00"
United States of America,"CHEAP-TEL, INC.","Telecommunication equipment, parts and accessories thereof","6 6,241.50"
United States of America,MOTOROLA INC..,"Telecommunication equipment, parts and accessories thereof","6 0,654.15"
United States of America,CISCO SYSTEMS,"Telecommunication equipment, parts and accessories thereof","5 4,048.90"
United States of America,LA CRESTA COMMUNICATIONS INC.,"Telecommunication equipment, parts and accessories thereof","4 9,945.00"
United States of America,AASTRA TELECOM SWEDEN  AB,"Telecommunication equipment, parts and accessories thereof","4 8,562.18"
United States of America,GENERAL DYNAMICS,"Telecommunication equipment, parts and accessories thereof","4 8,049.00"
United States of America,GIMCO,"Telecommunication equipment, parts and accessories thereof","4 7,198.75"
United States of America,"LENOVO, INC.","Telecommunication equipment, parts and accessories thereof","4 5,000.00"
United States of America,AASTRA TELECOM SWEDEN AB,Telephone equipment,"1,182,255.84"
United States of America,AASTRA TELECOM SWEDEN  AB,Telephone equipment,"588,638.81"
United States of America,MOTOROLA INC,Telephone equipment,"420,699.95"
United States of America,CISCO SYSTEMS INC.,Telephone equipment,"276,542.30"
United States of America,PLANSON INTERNATIONAL CORPORATION,Telephone equipment,"8 0,174.00"
United States of America,GIMCO,Telephone equipment,"6 0,875.00"
United States of America,MPEX INC,Telephone equipment,"3 0,713.00"
United States of America,AASTRA TELECOM SWEDEN AB,"Telephonic apparatus, other","614,444.73"
United States of America,LA CRESTA COMMUNICATIONS INC.,"Timber, hard","3 5,329.00"
United States of America,ALSTOM POWER RENTALS LLC,"Transformers, electrical","2,295,310.00"
United States of America,GLOBECOMM SYSTEMS INC.,"Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","765,065.00"
United States of America,CISCO SYSTEMS INC.,"Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","535,978.00"
United States of America,"ND SATCOM, INC.","Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","437,790.00"
United States of America,CISCO SYSTEMS;INC.,"Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","396,816.00"
United States of America,"CISCO SYSTEMS, INC.","Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","5 5,877.00"
United States of America,TCS SUPPLY CO.,"Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","4 5,275.00"
United States of America,INTERNATIONAL VIDEO-CONFERENCING INC,"Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","4 0,648.00"
United States of America,LENOVO INC.,"Transmitting and communicating equipment for edp, eg. modems, pc servers etc.","3 8,300.00"
United States of America,RODEN INDUSTRIES INC.,"Tyres, pneumatic new, inner tubes, solid or cushion tyres, etc.","408,074.00"
United States of America,AMERIKOR SALES & HANWHA CORPORATION,"Tyres, pneumatic new, inner tubes, solid or cushion tyres, etc.","120,343.64"
United States of America,I & E TIRE CORPORATION,"Tyres, pneumatic new, inner tubes, solid or cushion tyres, etc.","6 8,295.00"
United States of America,MAY AVENUE FORD LLC,Vehicles n.e.c.,"106,579.00"
United States of America,"GABRIELLI TRUCK SALES, LTD.",Vehicles n.e.c.,"3 3,100.00"
United States of America,DAVIS AND WARSHOW,Water pipe fittings and accessories,"5 0,000.00"
United States of America,"ALLIED GLOBAL, INC.","Waters, not sweetened","5 2,500.00"
United States of America,ASTROPHYSICS INC.,"X-ray or alpha, beta or gamma radiation apparatus, medical and surgical","435,194.84"
Western Sahara,JAMAL AHMED BEN M'BAREK OU JAMAA,"Waters, not sweetened","6 8,718.43"
UNRWA,,,
BELGIUM,Rhenus Logistics nv,Sugar,"615,502.00"
BELGIUM,Rhenus Logistics nv,Sugar,"346,494.00"
BELGIUM,Rhenus Logistics nv,Sugar,"6 1,146.00"
China,Top Sources Trading Limited,Office Stationery & Scho.,"5 1,264.14"
China,Top Sources Trading Limited,Major Equipment & Furniture,"608,236.00"
China,Top Sources Trading Limited,Major Equipment & Furniture,"199,740.00"
China,Shandong Medicines & Health Products IMP. & EXP. Corporation,Pharmaceutical and Hospital Sundries,"3 1,780.20"
China,Top Sources Trading Limited,Sports Clothing,"640,090.71"
China,Top Sources Trading Limited,Sports Clothing,"225,000.00"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"589,772.48"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"505,075.20"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"413,105.52"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"372,749.97"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"178,802.45"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"9 8,250.33"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"4 0,607.39"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"3 7,506.05"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"3 7,346.67"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"3 4,479.56"
CYPRUS,Remedica Ltd.,Drugs and Chemicals,"3 1,043.96"
CYPRUS,Remedica Ltd.,Mental Supplies,"5 8,984.15"
CYPRUS,Remedica Ltd.,Mental Supplies,"3 8,148.55"
DENMARK,Buk-Auto Ltd.,Transport Equipment,"121,600.00"
DENMARK,Buk-Auto Ltd.,Transport Equipment,"117,322.00"
GERMANY,F. Undutsch Gmbh,Laboratory Supplies & Chemicals,"6 3,154.85"
Germany,Human Ges. Biochemica & Diagnostica,Laboratory Supplies & Chemicals,"4 7,476.70"
Germany,Human Ges. Biochemica & Diagnostica,Laboratory Supplies & Chemicals,"3 4,377.57"
Germany,F. Undutsch Gmbh,Laboratory Supplies & Chemicals,"3 0,064.39"
Germany,"Henke-Sass, Wolf GmbH, Kronenstrass",Pharmaceutical and Hospital Sundries,"266,218.67"
Germany,"Henke-Sass, Wolf GmbH, Kronenstrass",Pharmaceutical and Hospital Sundries,"175,305.93"
Germany,"Henke-Sass, Wolf GmbH, Kronenstrass",Pharmaceutical and Hospital Sundries,"4 3,724.17"
Israel,Paz Oil Co.,Lubricants,"3 8,063.74"
Israel,Dor Alon Energy (1988)Ltd.,Lubricants,"3 5,200.00"
Israel,Paz Oil Co.,Benzene,"3 2,375.30"
Israel,Paz Oil Co.,Benzene,"3 2,172.83"
UNRWA Continued,,,
Israel,Paz Oil Co.,Benzene,"3 0,415.41"
Israel,Paz Oil Co.,Gas Oil,"212,367.74"
Israel,Paz Oil Co.,Gas Oil,"210,914.16"
Israel,Paz Oil Co.,Gas Oil,"155,056.60"
Israel,Paz Oil Co.,Gas Oil,"128,398.32"
Israel,Paz Oil Co.,Gas Oil,"127,943.53"
Israel,Paz Oil Co.,Gas Oil,"123,918.25"
Israel,Paz Oil Co.,Gas Oil,"109,912.33"
Israel,Paz Oil Co.,Gas Oil,"101,286.92"
Israel,Paz Oil Co.,Gas Oil,"100,648.58"
Israel,Paz Oil Co.,Gas Oil,"9 9,759.91"
Israel,Paz Oil Co.,Gas Oil,"9 9,254.06"
Israel,Paz Oil Co.,Gas Oil,"9 8,143.25"
Israel,Paz Oil Co.,Gas Oil,"9 6,799.07"
Israel,Paz Oil Co.,Gas Oil,"9 4,382.30"
Israel,Paz Oil Co.,Gas Oil,"9 4,375.07"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"100,562.00"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"8 1,796.00"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"4 3,472.00"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"4 3,472.00"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"4 2,750.00"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"3 5,700.00"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"3 4,880.00"
Israel,Computer Media Center Ltd. (CMC),Stand-alone Computer HW <$500,"3 0,780.00"
Israel,Mayotex Ltd,Transport Equipment,"216,200.00"
Israel,E-Drive Technology Ltd,Transport Equipment,"153,976.40"
Israel,Union Motors Ltd.,Transport Equipment,"7 3,481.48"
Israel,David Czapnik and Sons Ltd,Transport Equipment,"6 5,193.37"
Italy,Fiat Group Automobiles SPA,Spare Parts & Accessories,"5 2,610.05"
Italy,Fiat Group Automobiles SPA,Automotive Spare Parts & Accessories,"4 6,985.68"
Italy,Kartell,Laboratory Supplies & Chemicals,"5 8,665.91"
Italy,Altay Sientific SPA,Major Equipment & Furniture,"123,418.96"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"161,918.26"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"9 3,816.69"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"8 1,706.67"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"7 7,497.78"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"4 1,847.89"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"3 2,648.57"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"3 1,272.23"
Italy,Fiat Group Automobiles SPA,Transport Equipment,"3 0,480.00"
Jordan,e-Tech System,Computer Software,"116,281.00"
Jordan,Specialized Technical Services (STS),Computer Software,"8 1,108.49"
Jordan,Specialized Technical Services (STS),Computer Software,"3 2,395.70"
Jordan,Jordan Chalk Manufacturing Co.,Office Stationery & Scho.,"4 0,567.09"
Jordan,Middle East Pharm. & Chem. Indust.,Antibiotics,"8 9,940.00"
Jordan,Jordan Petroleum Refinery Co.,Benzene,"5 0,974.58"
Jordan,Jordan Petroleum Refinery Co.,Benzene,"5 0,974.58"
Jordan,Golden Star Factory For Plastic,Cleaning Supplies,"3 6,503.88"
Jordan,Specialized Technical Services (STS),Computer Hardware Equipment,"6 2,797.00"
Jordan,Khoury Dental,Dental Supplies,"3 9,060.17"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"807,293.23"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"636,077.29"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"494,262.20"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"478,180.73"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"287,409.51"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"188,220.43"
Jordan,United Pharmaceutical Mfg. Co. Ltd.,Drugs and Chemicals,"156,767.52"
Jordan,United Pharmaceutical Mfg. Co. Ltd.,Drugs and Chemicals,"141,994.00"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"129,704.72"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"110,284.68"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"9 8,795.38"
Jordan,United Pharmaceutical Mfg. Co. Ltd.,Drugs and Chemicals,"9 6,170.77"
Jordan,United Pharmaceutical Mfg. Co. Ltd.,Drugs and Chemicals,"5 0,120.00"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"4 9,370.87"
Jordan,United Pharmaceutical Mfg. Co. Ltd.,Drugs and Chemicals,"4 0,865.96"
Jordan,Novo-Nordisk A/S,Drugs and Chemicals,"3 7,190.00"
Jordan,United Pharmaceutical Mfg. Co. Ltd.,Drugs and Chemicals,"3 3,202.00"
Jordan,Ibn-Rushd Drug Store,Major Equipment & Furniture,"4 1,542.37"
Jordan,Al-Wafi Group for Marketing& Int'l Trade,Major Equipment & Furniture,"3 7,200.00"
Jordan,Prime Medical & Scientific Supplies Co.,Major Equipment & Furniture,"3 3,100.00"
Jordan,Amman Pharmaceutical Industries Co. WLL,Medical Supplies,"238,372.30"
Jordan,Amman Pharmaceutical Industries Co. WLL,Medical Supplies,"8 6,046.53"
Jordan,Amman Pharmaceutical Industries Co. WLL,Medical Supplies,"6 3,614.70"
Jordan,Omnitrade - Ch.R & M.,Mental Supplies,"4 2,598.77"
Jordan,BRAWISH FOR A/C TECHNOLOGY CO.,Minor Equipment & Furniture,"4 3,050.85"
Jordan,Hassouneh Carpentry,Minor Equipment & Furniture,"3 7,769.77"
Jordan,Shayboob Company,Oils & Fats,"5 0,423.73"
Jordan,First Advanced Trading Co.,Oils & Fats,"4 2,998.87"
Jordan,Rasheed's Plastic Company,Printed Forms,"6 6,083.33"
Jordan,Shayboob Company,Pulses,"4 7,607.01"
Jordan,Shayboob Company,Rice,"167,627.12"
Jordan,Ministry of Education,School Textbooks,"6 1,848.45"
Jordan,Majdalawi Masterpieces,School Textbooks,"3 8,520.00"
Jordan,Specialized Technical Services (STS),Stand-alone Computer HW <$500,"7 7,030.00"
Jordan,Specialized Technical Services (STS),Stand-alone Computer HW <$500,"4 1,870.00"
Jordan,Information Technology & Automation Co.,Stand-alone Computer HW <$500,"3 4,025.42"
Jordan,Shayboob Company,Sugar,"325,536.72"
Jordan,Shayboob Company,Sugar,"8 2,750.71"
Jordan,Specialized Technical Services (STS),Sundry Supplies,"8 5,049.00"
Jordan,UNITY Trading Est.,Transport Equipment,"6 6,384.18"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Benzene,"6 2,612.48"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Benzene,"6 2,263.59"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Benzene,"5 5,193.66"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Benzene,"3 8,606.20"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Benzene,"3 3,877.22"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Benzene,"3 2,052.25"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"6 8,476.83"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"4 8,929.54"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"4 7,372.00"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"4 2,817.00"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"4 2,596.00"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"4 1,656.69"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"3 8,720.00"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"3 7,326.99"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"3 7,111.83"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"3 7,095.56"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Gas Oil,"3 1,729.40"
Lebanon,Fairco International,Office Stationery & Scho.,"5 9,877.70"
Lebanon,Fairco International,Office Stationery & Scho.,"4 4,443.78"
Lebanon,Fairco International,Office Stationery & Scho.,"3 3,828.42"
Lebanon,Mediterranean Oil Shipping&Tran. Co,Benzene,"3 0,698.45"
Lebanon,Mobitel,Computer Hardware Equipment,"3 2,348.00"
Lebanon,Amine Aour Middle East Foods S.A.L.,Food Package,"228,472.40"
Lebanon,Amine Aour Middle East Foods S.A.L.,Food Package,"182,407.50"
Lebanon,Future Golden Jamal,Food Package,"107,423.64"
Lebanon,Toufic Ali Serhal Est.,Food Package,"6 2,730.36"
Lebanon,Future Golden Jamal,Food Package,"5 8,288.50"
Lebanon,Hanilor s.a.l.,Food Package,"5 6,025.00"
Lebanon,Hanilor s.a.l.,Food Package,"5 6,025.00"
Lebanon,Zein J. Harb & Partners S.A.L.,Food Package,"5 1,953.40"
UNRWA Continued,,,
Lebanon,M. M Sinno & Sons,Food Package,"4 8,129.00"
Lebanon,M. M Sinno & Sons,Food Package,"4 0,965.00"
Lebanon,M. M Sinno & Sons,Food Package,"4 0,965.00"
Lebanon,Amine Aour Middle East Foods S.A.L.,Food Package,"3 8,715.50"
Lebanon,Amine Aour Middle East Foods S.A.L.,Food Package,"3 8,713.75"
Lebanon,Bitar International s.a.l.,Food Package,"3 0,020.64"
Lebanon,Khalil Fattal & Fils,Major Equipment & Furniture,"6 2,000.00"
Lebanon,BMB,Major Telecommunication Equipment >$1000,"3 4,068.90"
Lebanon,Amine Aour Middle East Foods S.A.L.,Milk Powder,"836,542.08"
Lebanon,Amine Aour Middle East Foods S.A.L.,Milk Powder,"299,497.28"
Lebanon,ETS. George Hawa Agriculture-commerce,Minor Equipment & Furniture,"8 1,136.00"
Lebanon,DIAPAPER SAL.,Office Stationery & Scholastic Supplies,"6 2,791.06"
Lebanon,Amine Aour Middle East Foods S.A.L.,Oils & Fats,"867,600.99"
Lebanon,Amine Aour Middle East Foods S.A.L.,Oils & Fats,"192,130.11"
Lebanon,Amine Aour Middle East Foods S.A.L.,Oils & Fats,"158,304.00"
Lebanon,Amine Aour Middle East Foods S.A.L.,Oils & Fats,"126,675.00"
Lebanon,Amine Aour Middle East Foods S.A.L.,Oils & Fats,"121,481.96"
Lebanon,Amine Aour Middle East Foods S.A.L.,Oils & Fats,"8 2,450.00"
Lebanon,Amine Aour Middle East Foods S.A.L.,Oils & Fats,"4 8,940.20"
Lebanon,Zein J. Harb & Partners S.A.L.,Rice,"5 6,742.00"
Lebanon,Zein J. Harb & Partners S.A.L.,Rice,"3 7,523.05"
Lebanon,"Educational Co. for Printing, Publishing and Distribution",School Textbooks,"9 6,923.09"
Lebanon,M. M Sinno & Sons,Sugar,"9 1,267.50"
Lebanon,"Educational Co. for Printing, Publishing and Distribution",Sundry Supplies,"132,194.67"
Lebanon,Ali Saleh Est.,Sundry Supplies,"8 1,552.00"
Lebanon,Golden Vision,Sundry Supplies,"3 8,500.00"
Lebanon,Abo Riad Co. For Trade,Sundry Supplies,"3 6,328.59"
Lebanon,City Plast,Sundry Supplies,"3 4,546.00"
Lebanon,Nippon Motors Corporation Sal,Transport Equipment,"6 0,400.00"
Netherlands,Amstelfarma B.V,Medical Supplies,"9 6,423.46"
Netherlands,Amstelfarma B.V,Medical Supplies,"4 2,394.85"
Netherlands,Hoogwegt Int. BV,Milk Powder,"2,892,307.68"
Netherlands,Hoogwegt Int. BV,Milk Powder,"2,684,307.68"
Netherlands,Hoogwegt Int. BV,Milk Powder,"1,842,768.39"
Netherlands,Hoogwegt Int. BV,Milk Powder,"965,045.99"
Netherlands,Hoogwegt Int. BV,Milk Powder,"953,460.49"
Netherlands,Hoogwegt Int. BV,Milk Powder,"770,060.08"
Netherlands,Hoogwegt Int. BV,Milk Powder,"702,957.71"
Netherlands,Hoogwegt Int. BV,Milk Powder,"604,741.14"
Netherlands,Hoogwegt Int. BV,Milk Powder,"598,855.59"
Netherlands,Hoogwegt Int. BV,Milk Powder,"566,266.09"
Netherlands,Hoogwegt Int. BV,Milk Powder,"482,523.00"
Netherlands,Hoogwegt Int. BV,Milk Powder,"378,515.69"
Netherlands,Hoogwegt Int. BV,Milk Powder,"330,025.75"
Netherlands,Hoogwegt Int. BV,Milk Powder,"299,427.79"
Netherlands,Hoogwegt Int. BV,Milk Powder,"275,156.89"
Netherlands,Hoogwegt Int. BV,Milk Powder,"223,720.80"
Netherlands,Hoogwegt Int. BV,Milk Powder,"220,017.17"
Netherlands,Hoogwegt Int. BV,Milk Powder,"115,261.80"
Netherlands,Hoogwegt Int. BV,Milk Powder,"113,716.74"
Netherlands,Hoogwegt Int. BV,Milk Powder,"110,472.10"
Netherlands,Hoogwegt Int. BV,Milk Powder,"9 6,504.60"
Netherlands,Hoogwegt Int. BV,Milk Powder,"4 8,252.30"
Netherlands,Hoogwegt Int. BV,Milk Powder,"4 8,252.30"
Netherlands,Limako Suiker BV,Sugar,"897,023.00"
Netherlands,Limako Suiker BV,Sugar,"672,735.00"
Netherlands,Limako Suiker BV,Sugar,"598,560.00"
Netherlands,Limako Suiker BV,Sugar,"315,448.00"
Netherlands,Limako Suiker BV,Sugar,"236,070.00"
Netherlands,Limako Suiker BV,Sugar,"197,800.00"
Netherlands,Limako Suiker BV,Sugar,"112,574.00"
Netherlands,Limako Suiker BV,Sugar,"111,370.00"
Netherlands,Limako Suiker BV,Sugar,"7 9,980.00"
Netherlands,Limako Suiker BV,Sugar,"7 8,002.00"
Netherlands,Limako Suiker BV,Sugar,"7 8,002.00"
Netherlands,Limako Suiker BV,Sugar,"6 2,952.00"
Occupied Palestinian territory,Al-Jala' Pharmaceutical Co.,Antibiotics,"9 9,990.00"
Occupied Palestinian territory,Leader for General  Trading Co.,Bread,"6 9,531.67"
Occupied Palestinian territory,Mohammad Said El-Rifi,Bread,"3 7,089.08"
Occupied Palestinian territory,Pharmacare PLC,Medical Supplies,"4 3,362.00"
Occupied Palestinian territory,Hirbawi Investment & Int.Trade Co.,Office Stationery & Scho.,"1,412,232.24"
Occupied Palestinian territory,Worldnet Co. for Computers Networks,Office Stationery & Scho.,"131,415.00"
Occupied Palestinian territory,Hard Rock Co. Gen.Trad. Const.,Office Stationery & Scho.,"9 3,713.33"
Occupied Palestinian territory,Rafiq El-Saka & Sons Co For General,Office Stationery & Scho.,"7 9,040.00"
Occupied Palestinian territory,Brothers For Trading and Computers,Protective Clothes,"4 3,140.00"
Occupied Palestinian territory,Sport King,Recreational Supplies,"3 3,890.00"
Occupied Palestinian territory,Al-Jala' Pharmaceutical Co.,Antibiotics,"8 2,086.80"
Occupied Palestinian territory,Birzet Pharmaceuticals Co.,Antibiotics,"5 9,471.10"
Occupied Palestinian territory,Abu Mari Co. for industry & general Trad,Canned Meat.,"1,274,540.83"
Occupied Palestinian territory,Mussa Hemaid  Sons Co. Ltd.,Canned Meat.,"440,725.03"
Occupied Palestinian territory,Al-Nasher Technical Services Est.,Computer Hardware Equipment,"4 4,799.64"
Occupied Palestinian territory,Badawi Information Systems,Computer Hardware Equipment,"3 6,120.00"
Occupied Palestinian territory,Jamal Sons Telecom Computer System,Computer Hardware Equipment,"3 2,030.00"
Occupied Palestinian territory,Palestinian Commercial Services Co.,Construction Material,"3 9,561.83"
Occupied Palestinian territory,Eibal Dent (Tool & Lab),Dental Supplies,"3 5,339.31"
Occupied Palestinian territory,German Medical Care,Dental Supplies,"6 3,839.74"
Occupied Palestinian territory,El-Salam Mills Co.,Flour,"3,900,600.00"
Occupied Palestinian territory,Abu Ghali General Trading Co.,Flour,"3,008,005.50"
Occupied Palestinian territory,El-Salam Mills Co.,Flour,"2,618,412.00"
Occupied Palestinian territory,El-Eman Mills Company,Flour,"2,459,396.53"
Occupied Palestinian territory,El-Salam Mills Co.,Flour,"1,235,959.20"
Occupied Palestinian territory,El-Eman Mills Company,Flour,"853,561.50"
Occupied Palestinian territory,Sakher Factory for Food Stuff,Flour,"681,556.93"
Occupied Palestinian territory,Abu Ghali General Trading Co.,Flour,"675,546.00"
Occupied Palestinian territory,El-Salam Mills Co.,Flour,"558,636.98"
Occupied Palestinian territory,Sakher Factory for Food Stuff,Flour,"483,765.60"
Occupied Palestinian territory,Gaza Biggest Flour Mills Co.,Flour,"414,907.68"
Occupied Palestinian territory,Gaza Biggest Flour Mills Co.,Flour,"410,182.08"
Occupied Palestinian territory,Gaza Biggest Flour Mills Co.,Flour,"396,005.28"
Occupied Palestinian territory,Sakher Factory for Food Stuff,Flour,"380,474.73"
Occupied Palestinian territory,El-Eman Mills Company,Flour,"342,337.50"
Occupied Palestinian territory,El-Salam Mills Co.,Flour,"342,337.50"
Occupied Palestinian territory,El-Salam Mills Co.,Flour,"205,861.50"
Occupied Palestinian territory,Sakher Factory for Food Stuff,Flour,"169,619.46"
Occupied Palestinian territory,Abu Ghali General Trading Co.,Flour,"6 9,204.00"
Occupied Palestinian territory,Abu Mari Co. for industry & general Trad,Food Package,"535,937.60"
Occupied Palestinian territory,Leader for General  Trading Co.,Food Package,"465,725.05"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"7 7,040.46"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"7 5,171.56"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"7 3,779.50"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"7 1,395.58"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"7 0,983.28"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"6 9,957.37"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"5 9,457.73"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"5 9,255.46"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"5 8,466.81"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"5 8,466.76"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"4 9,904.89"
Occupied Palestinian territory,Bahloul & Salah Co. for Petrol,Fuel,"3 9,061.41"
Occupied Palestinian territory,Intermed Co.,Laboratory Supplies & Chemicals,"5 1,306.00"
UNRWA Continued,,,
Occupied Palestinian territory,Al Haj Ibrahim El Yazji and Sons Company,Library and Textbooks,"5 1,792.50"
Occupied Palestinian territory,Al Haj Ibrahim El Yazji and Sons Company,Library and Textbooks,"3 5,706.00"
Occupied Palestinian territory,Palestinian Tractor & Equipment Co.,Major Equipment & Furniture,"336,000.00"
Occupied Palestinian territory,Eng. Mostafa Mourtaga & Sons Co.,Major Equipment & Furniture,"328,800.00"
Occupied Palestinian territory,Intermed Co.,Major Equipment & Furniture,"210,000.00"
Occupied Palestinian territory,"Qaraman Office Automation Co. Ltd.,",Major Equipment & Furniture,"185,600.00"
Occupied Palestinian territory,A/Fattah Hasan Safi  & Sons Company,Major Equipment & Furniture,"181,645.52"
Occupied Palestinian territory,El-Mughrabi & Partiners Co.,Major Equipment & Furniture,"180,000.00"
Occupied Palestinian territory,Sport King,Major Equipment & Furniture,"180,000.00"
Occupied Palestinian territory,"Qaraman Office Automation Co. Ltd.,",Major Equipment & Furniture,"173,604.00"
Occupied Palestinian territory,A/Fattah Hasan Safi  & Sons Company,Major Equipment & Furniture,"149,180.00"
Occupied Palestinian territory,Al Safi for Trade & Investment Ltd.,Major Equipment & Furniture,"137,000.00"
Occupied Palestinian territory,Eng. Mostafa Mourtaga & Sons Co.,Major Equipment & Furniture,"134,000.00"
Occupied Palestinian territory,Al-Raid for Medical Equipment Co.,Major Equipment & Furniture,"129,600.00"
Occupied Palestinian territory,Intermed Co.,Major Equipment & Furniture,"8 6,800.00"
Occupied Palestinian territory,Adeeb El-Gherbawi Co. for General Trade,Major Equipment & Furniture,"8 5,000.00"
Occupied Palestinian territory,Eng. Mostafa Mourtaga & Sons Co.,Major Equipment & Furniture,"6 9,300.00"
Occupied Palestinian territory,German Medical Care,Major Equipment & Furniture,"6 9,000.00"
Occupied Palestinian territory,German Medical Care,Major Equipment & Furniture,"6 9,000.00"
Occupied Palestinian territory,Medical Supplies & Services Co. Ltd.,Major Equipment & Furniture,"5 4,600.00"
Occupied Palestinian territory,Advanced-Tech Co.,Major Equipment & Furniture,"5 3,820.00"
Occupied Palestinian territory,Labtech for Advanced Solutions.,Major Equipment & Furniture,"5 1,321.00"
Occupied Palestinian territory,Zant Co. for Medical Supplies & Lab,Major Equipment & Furniture,"4 5,725.00"
Occupied Palestinian territory,Zant Co. for Medical Supplies & Lab,Major Equipment & Furniture,"4 4,000.00"
Occupied Palestinian territory,Al-Mashreq Trading Company Ltd.,Major Equipment & Furniture,"4 2,624.00"
Occupied Palestinian territory,Sultan Co. Photo & Lab.,Major Equipment & Furniture,"4 0,722.27"
Occupied Palestinian territory,Lemix,Major Equipment & Furniture,"3 9,650.00"
Occupied Palestinian territory,"Qaraman Office Automation Co. Ltd.,",Major Equipment & Furniture,"3 9,600.00"
