Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
RENK AG,DEU,15000000,PRODUCT SERVICES IN SUPPORT OF RENK EQUIPMENT AND SYSTEMS,Outline Agreement,2018,Q3Q4
RHEINMETALL LANDSYSTEME GMBH,DEU,15000000,PROVISION OF PRODUCT SUPPORT SERVICES FOR PZH2000 AND LEOPARD ITEMS,Outline Agreement,2018,Q3Q4
S3 REPAIR SERVICES LLC,USA,1160520,UDLM CN235/B200 AIRCRAFT COMPONENT AHA1802,Outline Agreement,2018,Q3Q4
SCANIA LUXEMBOURG SA,LUX,1150000,PROVISION OF SCANIA PRODUCT SUPPORT SERVICES,Outline Agreement,2018,Q3Q4
SILVA,GBR,6603930,PROCUREMENT OF MILITARY COMPASSES,Outline Agreement,2018,Q3Q4
SOGETI LUXEMBOURG SA,LUX,1990000,NDSS/ILSS IT TECHNICAL SUPPORT SERVICES,Outline Agreement,2018,Q3Q4
SUYFA,ESP,1021000,PROCUREMENT OF LAND ROVER COMBAT VEHICLES SPARE PARTS,Outline Agreement,2018,Q3Q4
TBD OWEN HOLLAND Ltd,FRA,1075000,PURCHASE OF PALLET AND CONTAINER DOLLY,Outline Agreement,2018,Q3Q4
TELECOM ITALIA SPA,ITA,250000,PROVISION OF TELECOMMUNICATIONS SERVICES,Outline Agreement,2018,Q3Q4
VANDEPUTTER NV,BEL,1275000,PROCUREMENT OF COMBAT GLOVES,Outline Agreement,2018,Q3Q4
W+R GMBH,DEU,1300000,PROCUREMENT OF COMBAT GLOVES,Outline Agreement,2018,Q3Q4
YARO SUPPLY COMPANY,USA,86979,CLAMP COUPLING FOR ITAS (IMPROVED TARGET ACQUISITION SYSTEM),Outline Agreement,2018,Q3Q4
ZF LUFTFAHRTTECHNIK GMBH,DEU,5122205,GAF C-160 TRANSALL MAINTENANCE SUPPORT,Outline Agreement,2018,Q3Q4
ACAL BFI BELGIUM SA,BEL,821141,PROCUREMENT OF SPARE PARTS FOR PZH2000,Orders Awarded,2018,Q1Q2
AEROVIRONMENT INC,USA,5186130,PROCUREMENT OF UNMANNED AERIAL SYSTEMS,Orders Awarded,2018,Q1Q2
AGILITY PROJECT LOGISTICS LTD,GBR,180803,PROCUREMENT OF SPARE PARTS FOR COBRA SYSTEM,Orders Awarded,2018,Q1Q2
AGUSTA AEROSPACE SERVICES SA,BEL,1089479,PROCUREMENT OF SPARE PARTS FOR HELICOPTER,Orders Awarded,2018,Q1Q2
AIRBUS HELICOPTERS,DEU,23100000,PROCUREMENT OF 2 EA H145M HELICOPTERS,Orders Awarded,2018,Q1Q2
AIRBUS MILITARY SERVICES HAVACILIK,TUR,136850,SUPPLY OF VARIOUS ITEMS FOR HELICOPTER,Orders Awarded,2018,Q1Q2
AIRBUS MILITARY SERVICES HAVACILIK,TUR,148783,SUPPLY OF SPARE PARTS FOR CN235,Orders Awarded,2018,Q1Q2
AVAIR INC,USA,87414,SUPPLY OF SPARE PARTS FOR F16-C AIRCRAFT,Orders Awarded,2018,Q1Q2
AVIATION AND DEFENCE SPARES LTD,GBR,129795,PROCUREMENT OF DISC BRAKE,Orders Awarded,2018,Q1Q2
BEAVER AEROSPACE & DEFENSE INC,USA,138166,PROVISION OF SPARE PARTS FOR MLRS,Orders Awarded,2018,Q1Q2
CALIBER SALES ENGINEERING INC,USA,89371,SUPPLY OF RINGS PISTON,Orders Awarded,2018,Q1Q2
CAMPANIA ALIMENTARE SRL,ITA,566418,PROVISION OF FOOD  BOTTLED WATER AND BEVERAGES AT MILITARY EXERCISES,Orders Awarded,2018,Q1Q2
CARER SRL,ITA,129800,SUPPLY OF FORKLIFT 12 TONNES,Orders Awarded,2018,Q1Q2
DEFENSE TECHNOLOGY EQUIPMENT INC,USA,155258,PROCUREMENT OF BRUSH ELECTRICAL CONTACT,Orders Awarded,2018,Q1Q2
DEFENSE TRADING CORPORATION,USA,129556,SUPPLY OF HOST-TRAIN MECHANISM SONAR,Orders Awarded,2018,Q1Q2
DIMENSION DATA LUXEMBOURG,LUX,104838,WEB APPLICATION SUPPORT ACTIVITIES,Orders Awarded,2018,Q1Q2
"EDO WESTERN CORPORATION, A SUBSIDIA",USA,399026,PROCUREMENT OF SONAR TRANSDUCER,Orders Awarded,2018,Q1Q2
EPTI ARCHITECTURAL AND ENGINEERING,HUN,152500,PROVISION OF A&E SERVICES FOR ROAD AND PAVEMENT IMPROVEMENTS AT AIR BASE,Orders Awarded,2018,Q1Q2
EXPAL SYSTEMS SA,ESP,390400,PURCHASE OF AMMUNITION,Orders Awarded,2018,Q1Q2
EXPAL SYSTEMS SA,ESP,1217800,SUPPLY OF AMMUNITION,Orders Awarded,2018,Q1Q2
EXPAL SYSTEMS SA,ESP,416328,PURCHASE OF AMMUNITION,Orders Awarded,2018,Q1Q2
EXPERTUM - ECE BVBA,BEL,81299,SAP GRC UPGRADE V5 TO V12,Orders Awarded,2018,Q1Q2
GAUZON IBERICA SL,ESP,104173,SUPPLY OF SPARES,Orders Awarded,2018,Q1Q2
GAUZON IBERICA SL,ESP,135942,SUPPLY OF ARMADA 580 BREATHING APPARATUS SPARES,Orders Awarded,2018,Q1Q2
GENERAL DYNAMICS EUROPEAN LAND,ESP,740246,SUPPLY OF AMMUNITION,Orders Awarded,2018,Q1Q2
GENERAL DYNAMICS ORDNANCE AND TACTI,USA,732582,PROVISIONS OF AMMUNITIONS,Orders Awarded,2018,Q1Q2
GENTEX CORPORATION,USA,611120,SUPPLY OF HELMETS  ASSOCIATED ACCESSORIES AND SPARES,Orders Awarded,2018,Q1Q2
GLOBAL LOGISTICS SUPPORT GMBH,DEU,220080,PROCUREMENT OF SPARE PARTS FOR LEOPARD,Orders Awarded,2018,Q1Q2
GLOBAL LOGISTICS SUPPORT GMBH,DEU,81816,SUPPLY OF SPARE PARTS FOR PZH2000,Orders Awarded,2018,Q1Q2
HAYWARD & GREEN AVIATION LIMITED,GBR,103288,PROVISION OF BOLT MACHINE,Orders Awarded,2018,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,189343,SUPPLY OF TRANSDUCER MOTIONAL PICKUP,Orders Awarded,2018,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,179278,PURCHASE OF INDICATOR,Orders Awarded,2018,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,88503,SUPPLY OF FLOOR AIRCRAFT FOR AS532UL,Orders Awarded,2018,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,263764,SUPPLY OF STABILIZER ROTARY WING,Orders Awarded,2018,Q1Q2
HENSOLDT SENSORS GMBH,DEU,182157,PROCUREMENT OF COBRA SPARES,Orders Awarded,2018,Q1Q2
HFI PYROTECHNICS INC,CAN,119596,PROVISION OF AMMUNITION,Orders Awarded,2018,Q1Q2
HIBA ENGINEERING EST.,JOR,2363777,CONSTRUCTION OF SERVICE WOMEN’S TRAINING CENTER IN JORDAN (PHASE 1),Orders Awarded,2018,Q1Q2
HONEYWELL INC,USA,289641,SUPPLY OF ENGINE  TURBOFAN TFE731-3D-1C,Orders Awarded,2018,Q1Q2
IMPACT,FRA,130675,SUPPLY OF SOFTWARE DELTA SUITE  UPGRADE,Orders Awarded,2018,Q1Q2
INTEGRATED PROCUREMENT TECHNOLOGIES,USA,359727,SUPPLY OF VARIOUS AB-212 HELICOPTER RADAR TRANSMITTER UNIT PARTS,Orders Awarded,2018,Q1Q2
INTEGRATED PROCUREMENT TECHNOLOGIES,USA,93429,PROCUREMENT OF A HANGER,Orders Awarded,2018,Q1Q2
INTEGRATED PROCUREMENT TECHNOLOGIES,USA,15176864,PROCUREMENT OF SONOBUOYS FOR P-3 ORION LM AIRCRAFT,Orders Awarded,2018,Q1Q2
INTEGRATED PROCUREMENT TECHNOLOGIES,USA,134360,PROCUREMENT OF FILTER FLUID,Orders Awarded,2018,Q1Q2
INTEGRATED PROCUREMENT TECHNOLOGIES,USA,101159,PURCHASE OF AMMUNITION,Orders Awarded,2018,Q1Q2
INTEGRATED PROCUREMENT TECHNOLOGIES,USA,654790,PROVISION OF AMMUNITION,Orders Awarded,2018,Q1Q2
INTERNATIONAL SOS UK LTD,GBR,354410,SUPPLY OF CSTC-A MEDICAL EQUIPMENT,Orders Awarded,2018,Q1Q2
INTERNATIONAL SOS UK LTD,GBR,673795,SUPPLY OF CSTC-A MEDICAL EQUIPMENT,Orders Awarded,2018,Q1Q2
JUNGENTHAL WEHRTECHNIK GMBH,DEU,132300,SUPPLY OF SPARE PARTS FOR PZH2000,Orders Awarded,2018,Q1Q2
KNIGHT AEROSPACE PRODUCTS INC,USA,82543,PROCUREMENT OF CRADLE  GROUND HANDLING EQUIPMENT,Orders Awarded,2018,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,94905,SUPPLY OF SPARES FOR BOXER,Orders Awarded,2018,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,703824,SUPPLY SPARE PARTS PZH2000 HOWITZER,Orders Awarded,2018,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,143569,SUPPLY OF SPARE PARTS PZH2000,Orders Awarded,2018,Q1Q2
LEONARDO MW LTD,GBR,212333,SUPPLY OF AMPLIFIER INTERMEDIATE FREQUENCY FOR HELICOPTER MODEL AB-212,Orders Awarded,2018,Q1Q2
LEONARDO SPA,ITA,329400,SUPPLY OF SPARE PARTS FOR PZH2000,Orders Awarded,2018,Q1Q2
LOCKHEED MARTIN OVERSEAS CORP.,USA,697016,SUPPLY OF SPARE PARTS FOR ANFPS117 RADAR,Orders Awarded,2018,Q1Q2
MARTIN-BAKER AIRCRAFT CO LTD,GBR,87448,PROVISION OF AMMUNITION,Orders Awarded,2018,Q1Q2
MICHELIN SA,BEL,1331200,SUPPLY OF MICHELIN TIRES FOR BOXER,Orders Awarded,2018,Q1Q2
MSM MARTIN SRO,SVK,3006250,PROVISION OF AMMUNITION,Orders Awarded,2018,Q1Q2
OY FORCIT AB,FIN,189500,PURCHASE OF AMMUNITION,Orders Awarded,2018,Q1Q2
POSTERTZ KG,DEU,96830,SUPPLY OF A TRACTOR TRUCK,Orders Awarded,2018,Q1Q2
QINETIQ LTD,GBR,91305,INSPECTION AND TESTING OF MLRS LAUNCHER,Orders Awarded,2018,Q1Q2
ROLLS-ROYCE,GBR,789168,PROCUREMENT OF SPARES FOR VIPER ENGINE MODEL MK632-43 FOR AIRCRAFT MB339.,Orders Awarded,2018,Q1Q2
ROLLS-ROYCE,GBR,438422,PROCUREMENT OF BLADE COMPRESSOR AIRCRAFT GAS TURBINE,Orders Awarded,2018,Q1Q2
RUAG DEFENCE DEUTSCHLAND GMBH,DEU,98235,SUPPLY OF SPARE PARTS FOR PZH2000,Orders Awarded,2018,Q1Q2
RWM ITALIA SPA,ITA,1337000,PURCHASE OF AMMUNITION,Orders Awarded,2018,Q1Q2
SEMA,FRA,186750,SUPPLY OF RING  EXPLOSIVE ORDNANCE DISPOSAL,Orders Awarded,2018,Q1Q2
SIMEX DEFENCE INC,CAN,288945,SUPPLY OF PLATE ASSY PRESSURE & STATOR ASSEMBLY,Orders Awarded,2018,Q1Q2
SORNIN INDUSTRIES,FRA,328647,PROCUREMENT OF TOWABLE MAINTENANCE CRANES,Orders Awarded,2018,Q1Q2
SOVAM,FRA,1612500,SUPPLY OF AIRCRAFT MAINTENANCE PLATFORMS,Orders Awarded,2018,Q1Q2
STIDD SYSTEMS INC.,USA,1242756,SUPPLY OF DIVER PROPULSION DEVICES,Orders Awarded,2018,Q1Q2
THALES AVS FRANCE SAS,FRA,568000,SUPPLY OF ELECTRON TUBES FOR SUPPORT OF RADAR MPR SYSTEM,Orders Awarded,2018,Q1Q2
THERMOFRIGOR SUD,ITA,94500,REPAIR - RETROFIT OF 9EA AIR CONDITIONING  - FDOCS,Orders Awarded,2018,Q1Q2
TOTALFORSVARETS FORSKNINGSINSTITUT,SWE,991838,SHELFLIFE STUDY,Orders Awarded,2018,Q1Q2
ULTRA ELECTRONICS,CAN,1917558,SUPPLY OF SONOBUOYS FOR P-3 ORION LM AIRCRAFT.,Orders Awarded,2018,Q1Q2
UNICAL DEFENSE INC,USA,387701,PROCUREMENT OF ELECTRON TUBES,Orders Awarded,2018,Q1Q2
VETTER GMBH,DEU,232409,PROVISION OF D.A.R. BAG SET,Orders Awarded,2018,Q1Q2
VISICONSULT GMBH,DEU,104500,SUPPLY OF XPLUS SECURITY SYSTEM,Orders Awarded,2018,Q1Q2
ZODIAC AEROSPACE SERVICES EUROPE,FRA,88194,PROCUREMENT OF HOSE  CONNECTOR,Orders Awarded,2018,Q1Q2
ATM ASSISTENCIA TOTAL EM MANUTENCAO,PRT,500000,OSM SERVICES FOR RSRP EQUIPMENT,Outline Agreement,2018,Q1Q2
DANTHERM,DNK,900000,AIR CONDITIONERS AND SPARES,Outline Agreement,2018,Q1Q2
DANTHERM AIR HANDLING A/S,DNK,5800000,CONTRACTED LOGISTIC SUPPORT FOR HVAC SYSTEMS,Outline Agreement,2018,Q1Q2
DELOITTE CONSULTING & ADVISORY CVBA,BEL,1160766,SAP BASIS CONSULTANCY,Outline Agreement,2018,Q1Q2
FRASCA INTERNATIONAL INC,USA,4072629,UPDATE FNPT TRAINERS AS332  EC155  EC135,Outline Agreement,2018,Q1Q2
GLOBAL RTS LTD,BGR,15000000,LEASED CAMPS  CAMP EQUIPMENT AND SERVICES,Outline Agreement,2018,Q1Q2
GMI AERO,FRA,240000,CARBON FIBER REPAIR KITS,Outline Agreement,2018,Q1Q2
KLEINSORGE GmbH & Co. KG,DEU,3000000,METAL CHOCK BLOCKS,Outline Agreement,2018,Q1Q2
KONGSBERG DEFENCE & AEROSPACE AS,NOR,1026544,PRODUCT SUPPORT SERVICES,Outline Agreement,2018,Q1Q2
KONGSBERG DEFENCE & AEROSPACE AS,NOR,312961,AGS POST DESIGN SERVICES,Outline Agreement,2018,Q1Q2
LUNDHAGS SKOMAKARNA AB,SWE,8200000,COMBAT TELEMARK SKI BOOTS,Outline Agreement,2018,Q1Q2
MBDA DEUTSCHLAND GMBH,DEU,3500000,TECHNICAL AND ADMNINISTRATIVE SUPPORT/TEST AND TRAINING,Outline Agreement,2018,Q1Q2
MVP PARTS,BEL,150000,RECHARGEABLE LEAD ACID BATTERY 12V AH,Outline Agreement,2018,Q1Q2
NORDISK AVIATION PRODUCTS,NOR,260000,AKN CONTAINERS,Outline Agreement,2018,Q1Q2
OVERSEAS SUPPLY SERVICES LTD (OSSL),GBR,423632,PROVISION OF MOVEMENT CONTROL (MOVCON) CATO OPERATIONS,Outline Agreement,2018,Q1Q2
PATRIOT 3 I.N.C,USA,24366683,DIVER PROPULSION SYSTEM  SPARES  TRAINING,Outline Agreement,2018,Q1Q2
RHEINMETALL ELECTRONICS GMBH,DEU,3500000,INDUSTRY SUPPORT SERVICES FOR MBT LEOPARD I/II SYSTEM,Outline Agreement,2018,Q1Q2
RICOH LUXEMBOURG PSF SARL,LUX,94500,LEASE OF COPIERS,Outline Agreement,2018,Q1Q2
SDLE,SPA,190000,RG31 SPARE PARTS,Outline Agreement,2018,Q1Q2
STANGENES INDUSTRIES INC,USA,975734,DLM  OSM  CM  AND PDS ON HIGH VOLTAGE RADAR COMPONENTS,Outline Agreement,2018,Q1Q2
SUYFA DEFENCE SL,SPA,100000,RG31 SPARE PARTS,Outline Agreement,2018,Q1Q2
TLD EUROPE,FRA,10500000,AIRCRAFT LOADING PLATFORMS,Outline Agreement,2018,Q1Q2
UNITED TECHNOLOGIES INT'L CORP,USA,3003065,PROCUREMENT OF DIFFUSER CASES FOR TF33 ENGINE,Outline Agreement,2018,Q1Q2
URO VEHICULOS ESPECIALES SA,ESP,60000000,VTLB PROCUREMENT,Outline Agreement,2018,Q1Q2
AART ELECTRONICS,FRA,101711,PROVISION OF SPARE PARTS FOR ANFPS 117 RADAR,Orders Awarded,2019,Q1Q2
AECOM URS ITALIA SPA,ITA,150000,ARCHITECTURE & ENGINEERING SERVICES FOR WAREHOUSES,Orders Awarded,2019,Q1Q2
AIRBUS DEFENCE AND SPACE SA,ESP,191007,SUPPLY OF SPARE PARTS FOR C295,Orders Awarded,2019,Q1Q2
AIRBUS DEFENCE AND SPACE SA,ESP,584488,SUPPLY OF HEAT PACK ASSEMBLY FOR AIRCRAFT  C-295/T.21C-295,Orders Awarded,2019,Q1Q2
AIRBUS DEFENCE AND SPACE SA,ESP,195856,PROVISION OF SPARE PARTS FOR AIRCRAFT C-295/T.21,Orders Awarded,2019,Q1Q2
AIRBUS HELICOPTERS,FRA,366732,SUPPLY OF ALTIMETER SET,Orders Awarded,2019,Q1Q2
AIRBUS HELICOPTERS,FRA,184212,SUPPLY OF COWLING FOR AS-532UL,Orders Awarded,2019,Q1Q2
AIRBUS MILITARY SERVICES HAVACILIK,TUR,157425,SUPPLY OF BRAKE  ELECTRIC,Orders Awarded,2019,Q1Q2
AIRBUS MILITARY SERVICES HAVACILIK,TUR,91698,SUPPLY OF SPARE PARTS FOR C160G AND CN235,Orders Awarded,2019,Q1Q2
AIRBUS MILITARY SERVICES HAVACILIK,TUR,99773,SUPPLY OF UNITY CONTROL DC GENERATION,Orders Awarded,2019,Q1Q2
AQUALUNG ESPANA SL,ESP,254139,SUPPLY OF AMPHORA DIVING - EQUIPMENT SPARES,Orders Awarded,2019,Q1Q2
AVIATION AND DEFENCE SPARES LTD,GBR,209891,SUPPLY OF CYLINDER ASSEMBLY,Orders Awarded,2019,Q1Q2
BELSS SIA LTD,LVA,6268076,SOFT SHELTERS AND SERVICES,Orders Awarded,2019,Q1Q2
BILTEK ORGANIZASYON MUHENDISLIK,TUR,413134,CSA GYM HALL AND NMAA RESTORATION,Orders Awarded,2019,Q1Q2
BLACK BOX NETWORK SERVICES SA,BEL,228556,PROCUREMENT OF VARIOUS MATERIAL FOR PATRIOT EQUIPMENT,Orders Awarded,2019,Q1Q2
BRIGHT LIGHTS USA INC,USA,88553,SUPPLY OF MRLS SPARES,Orders Awarded,2019,Q1Q2
COLAK GMBH,DEU,90479,PROVISION OF SPARE PARTS PZH2000,Orders Awarded,2019,Q1Q2
CONTECH INSAAT TAAHHUT ITHALAT IHRA,TUR,1616845,AMENITIES CONSTRUCTION WORKS,Orders Awarded,2019,Q1Q2
CRESTWOOD TECHNOLOGY GROUP,USA,86797,PURCHASE OF CONNECTOR BODY IN SUPPORT OF PATRIOT,Orders Awarded,2019,Q1Q2
DEFENSE TRADING CORPORATION,USA,142270,PROVISION OF RADAR PARTS,Orders Awarded,2019,Q1Q2
DRAEGER NORGE AS,NOR,481407,PROVISION OF MOBILE ANESTHESIA APPARATUS,Orders Awarded,2019,Q1Q2
ELBE GELENKWELLEN SERVICE GMBH,DEU,158800,PROVISION OF SPARE PARTS FOR BOXER,Orders Awarded,2019,Q1Q2
ELCOS BVBA,BEL,168050,SUPPLY OF RADIO FREQUENCE,Orders Awarded,2019,Q1Q2
ESG ELEKTRONIKSYSTEM- UND LOGISTIK,DEU,429442,SOFTWARE DEVELOPMENT AND ON-SITE SUPPORT TRAINING FOR THE PANZER BRIGADE.,Orders Awarded,2019,Q1Q2
EURELETTRONICA ICAS SRL,ITA,139713,SUPPLY OF TACTICAL METEOROLOGICAL OBSERVATION SYSTEM,Orders Awarded,2019,Q1Q2
EXPAL SYSTEMS SA,ESP,869600,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
EXPAL SYSTEMS SA,ESP,240000,PURCHASE OF AMMUNITION,Orders Awarded,2019,Q1Q2
FEKA INSAAT SANAYI VE TIC AS,TUR,919908,GENERATOR RELOCATION,Orders Awarded,2019,Q1Q2
FEKA INSAAT SANAYI VE TIC AS,TUR,3879471,EDI DESIGN AND BUILD PROJECTS,Orders Awarded,2019,Q1Q2
FEKA INSAAT SANAYI VE TIC AS,TUR,731755,MFNDU MULTI PURPOSE SPORT FACILITY,Orders Awarded,2019,Q1Q2
FEKA INSAAT SANAYI VE TIC AS,TUR,1466685,SITE RESTORATION AND SOIL REMEDIATION,Orders Awarded,2019,Q1Q2
G&G PARTNERS SRL,ITA,355520,SUPPLY OF MEDICAL TREATMENT FACILITIES,Orders Awarded,2019,Q1Q2
GENERAL DYNAMICS EUROPEAN LAND,ESP,115420,PROVISION OF LEOPARD VEHICLE SPARE PARTS,Orders Awarded,2019,Q1Q2
GENERAL DYNAMICS EUROPEAN LAND,ESP,363149,PROVISION OF SPARE PARTS FOR LEOPARD,Orders Awarded,2019,Q1Q2
GENERAL DYNAMICS EUROPEAN LAND,ESP,699000,PROVISION OF LEOPARD SPARES,Orders Awarded,2019,Q1Q2
GENERAL ELECTRIC CO,USA,151389,SUPPLY OF BEARING,Orders Awarded,2019,Q1Q2
GLOBAL LOGISTICS SUPPORT GMBH,DEU,163200,PROVISION OF PZH SPARES,Orders Awarded,2019,Q1Q2
GRIFFIN GROUP S.A. DEFENCE SPK,POL,201832,PROVISION OF LASER POINTER,Orders Awarded,2019,Q1Q2
HALL & WATTS DEFENCE OPTICS LTD,GBR,145476,SUPPLY OF LEOPARD SPARE PARTS,Orders Awarded,2019,Q1Q2
HARRIS CORPORATION,USA,100727,PROVISION OF IMAGE INTENSIFIER NIGHT VISION,Orders Awarded,2019,Q1Q2
HAYALGUCU TASARIM MIMARLIK,TUR,180000,A&E DAYCARE  KITCHEN AND MOUNTAIN WARFARE TRAINING CENTRE,Orders Awarded,2019,Q1Q2
HAYALGUCU TASARIM MIMARLIK,TUR,162400,EDI PROJECTS,Orders Awarded,2019,Q1Q2
HAYALGUCU TASARIM MIMARLIK,TUR,82000,ARCHITECTURE & ENGINEERING SERVICES  RESTORE ATC TOWER,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,209686,SUPPLY OF VARIOUS SPARE PARTS FOR AS332 / AS532 HELICOPTERS,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,743238,SUPPLY OF SPARES PARTS FOR HELICOPTERAS332 / AS332B,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,81055,PROVISION OF PARTS FOR HELICOPTER MODEL AS332,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,396786,SUPPLY OF SPARE PARTS FOR AS332B1/AS532UL,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,121350,PROVISION OF VARIOUS SPARE PARTS FOR AS532/AS332 HELICOPTERS,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,161737,SUPPLY OF VARIOUS ITEMS FOR AS532UL,Orders Awarded,2019,Q1Q2
HELIAVIAS HAVA DIS TICARET,TUR,101839,PROVISION OF SHAFT ASSEMBLY  STRAIGHT - PUMP  HYDRAULIC,Orders Awarded,2019,Q1Q2
HENSOLDT SENSORS GMBH,DEU,81504,PROVISION OF PARTS FOR THE SUPPORT OF THE ANFPS117 RADAR SYSTEM,Orders Awarded,2019,Q1Q2
HENSOLDT SENSORS GMBH,DEU,400980,PROVISION OF SPARE PARTS FOR THE SUPPORT OF ANFPS117 RADAR SYSTEM.,Orders Awarded,2019,Q1Q2
INDUSTRIE-HYDRAULIK VOGEL & PARTNER,DEU,82894,PROVISION OF SPARE PARTS FOR AMRAAM,Orders Awarded,2019,Q1Q2
INTEGRACION TECNOLOGICA EMPRESARIAL,ESP,195750,SPARE PARTS FOR THE GTK BOXER,Orders Awarded,2019,Q1Q2
INTEGRACION TECNOLOGICA EMPRESARIAL,ESP,169950,SUPPLY OF SHOP EQUIPMENT  TIRE,Orders Awarded,2019,Q1Q2
INTERNATIONAL SOS UK LTD,GBR,2711687,SUPPLY OF MEDICAL EQUIPMENT,Orders Awarded,2019,Q1Q2
INTERNATIONAL SOS UK LTD,GBR,865464,SUPPLY OF MEDICAL EQUIPMENT,Orders Awarded,2019,Q1Q2
KIDDE-DEUGRA,DEU,95252,SUPPLIES FOR THE BOXER AND PANZER,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,158321,SUPPLY OF PANZER PZH2000 HOWITZER SPARES,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,162604,SUPPLY OF PANZER PZH2000 HOWITZER SPARES,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,232650,SUPPLY OF PANZER PZH2000 HOWITZER SPARES,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,736592,SUPPLY OF MRLS SPARES,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,155443,SUPPLY OF PANZER PZH2000 HOWITZER SPARES,Orders Awarded,2019,Q1Q2
KRAUSS-MAFFEI WEGMANN GMBH & CO KG,DEU,149750,PROVISION OF SPARES FOR BOXER,Orders Awarded,2019,Q1Q2
LEONARDO BELGIUM,BEL,80621,SUPPLY OF BLADE  ROTARY WING,Orders Awarded,2019,Q1Q2
LEONARDO SPA,ITA,602096,PROVISION OF OTO MELARA SPARES,Orders Awarded,2019,Q1Q2
L'HOTELLIER,FRA,134950,SUPPLY OF CONTROL UNIT,Orders Awarded,2019,Q1Q2
LOSBERGER RDS,FRA,2960692,SOFT SHELTERS AND SERVICES,Orders Awarded,2019,Q1Q2
MAKRO MEKANIK ELEKTRONIK BILISIM SA,TUR,350429,RELOCATION OF CONTAINERIZED STRUCTURES,Orders Awarded,2019,Q1Q2
MAKRO MEKANIK ELEKTRONIK BILISIM SA,TUR,7065631,MTF CONSTRUCTION,Orders Awarded,2019,Q1Q2
MAKRO MEKANIK ELEKTRONIK BILISIM SA,TUR,1397208,CONTAINERIZED STRUCTURES,Orders Awarded,2019,Q1Q2
MARINE SPECIALISED TECHNOLOGY LTD,GBR,,SUPPLY OF SPECIAL COMBAT CRAFTS AND ASSOCIATED SERVICES,Orders Awarded,2019,Q1Q2
MARSHALL LAND SYSTEMS LTD,GBR,1484614,PROVISION OF CT SCANNER,Orders Awarded,2019,Q1Q2
MARTIN-BAKER AIRCRAFT CO LTD,GBR,524583,SUPPLY OF SPARE PARTS FOR AIRCRAFT SEATS AND PARACHUTES,Orders Awarded,2019,Q1Q2
MARTIN-BAKER AIRCRAFT CO LTD,GBR,1659590,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
MBDA ESPANA SL,ESP,521066,PROVISION OF MISTRAL SPARES,Orders Awarded,2019,Q1Q2
MENNO CHEMIE-VERTRIEB GMBH,DEU,369840,PROVISION OF VENNO VET 1 SUPER DISINFECTION KIT,Orders Awarded,2019,Q1Q2
PAAR LOGISTIK GMBH,DEU,102122,SUPPLY OF LEOPARD SPARE PARTS,Orders Awarded,2019,Q1Q2
PAAR LOGISTIK GMBH,DEU,301870,PROVISION OF PZH2000 SHOCK ABSORBERS,Orders Awarded,2019,Q1Q2
PLAN AERO SA,GRC,167950,SUPPLY OF FLASK RH  LH  HOUSING ASSY LH AND CARTRIDGE COMPLETE,Orders Awarded,2019,Q1Q2
RAYTHEON,USA,106369,GROUND BASED OPERATIONAL SURVEILLANCE,Orders Awarded,2019,Q1Q2
RAYTHEON CO,USA,1183890,PROVISION OF AMMUNITION,Orders Awarded,2019,Q1Q2
READINESS MANAGEMENT SUPPORT LC,USA,101665,AIR TRAFFIC CONTROL EQUIPMENT EVALUATION SERVICES,Orders Awarded,2019,Q1Q2
RHEINMETALL MAN MILITARY VEHICLES,DEU,141672,SUPPLY OF BOXER SPARE PARTS,Orders Awarded,2019,Q1Q2
